organism,antibiotic,count_full,organism_name,antibiotic_name
17,19,410,STAPH AUREUS {MRSA},Moxifloxacin
4,19,392,ENTEROBACTER CLOACAE COMPLEX,Moxifloxacin
13,3,375,PROTEUS MIRABILIS,Ampicillin/Sulbactam
13,4,370,PROTEUS MIRABILIS,Aztreonam
12,19,297,OTHER,Moxifloxacin
17,23,290,STAPH AUREUS {MRSA},Penicillin
17,16,290,STAPH AUREUS {MRSA},Levofloxacin
17,14,290,STAPH AUREUS {MRSA},Gentamicin
14,27,276,PROVIDENCIA RETTGERI,Trimethoprim/Sulfamethoxazole
14,20,276,PROVIDENCIA RETTGERI,Nitrofurantoin
14,12,276,PROVIDENCIA RETTGERI,Ertapenem
14,0,276,PROVIDENCIA RETTGERI,Amikacin
14,10,276,PROVIDENCIA RETTGERI,Ciprofloxacin
14,14,276,PROVIDENCIA RETTGERI,Gentamicin
14,24,276,PROVIDENCIA RETTGERI,Piperacillin/Tazobactam
14,8,276,PROVIDENCIA RETTGERI,Ceftazidime
14,9,276,PROVIDENCIA RETTGERI,Ceftriaxone
14,2,276,PROVIDENCIA RETTGERI,Ampicillin
14,5,276,PROVIDENCIA RETTGERI,Cefazolin
14,26,271,PROVIDENCIA RETTGERI,Tobramycin
14,25,271,PROVIDENCIA RETTGERI,Tetracycline
14,18,271,PROVIDENCIA RETTGERI,Meropenem
14,7,271,PROVIDENCIA RETTGERI,Cefoxitin
14,16,259,PROVIDENCIA RETTGERI,Levofloxacin
5,21,246,ENTEROCOCCUS FAECALIS,Other
0,27,221,ACHROMOBACTER XYLOSOXIDANS,Trimethoprim/Sulfamethoxazole
0,0,217,ACHROMOBACTER XYLOSOXIDANS,Amikacin
5,23,210,ENTEROCOCCUS FAECALIS,Penicillin
0,18,210,ACHROMOBACTER XYLOSOXIDANS,Meropenem
0,8,209,ACHROMOBACTER XYLOSOXIDANS,Ceftazidime
0,4,205,ACHROMOBACTER XYLOSOXIDANS,Aztreonam
0,6,205,ACHROMOBACTER XYLOSOXIDANS,Cefepime
0,10,205,ACHROMOBACTER XYLOSOXIDANS,Ciprofloxacin
